type,level,skill,topics,japanese,reading,meaning,explanation,formation,example,example_reading,example_meaning,related_vocabulary,related_kanji,source,source_ref,tags,notes
grammar,N5,grammar,question-words,いくら,いくら,"""How much"" (price)","いくら asks specifically about price or cost and cannot be used for general quantity — for ""how many,"" use いくつ or a specific counter with 何。",Question word,これはいくらですか。,これはいくらですか。,How much is this?,いくら;これ;はい,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Only for prices, not general quantity."
grammar,N5,grammar,question-words,なぜ・どうして,なぜ・どうして,"""Why""","どうして is more common and neutral in speech; なぜ appears more in writing, formal speech, or when the question carries a slightly more serious or analytical tone.",Question word,どうして遅れましたか。,どうしておくれましたか。,Why were you late?,どうして;どう,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,なぜ is slightly more formal/written.
grammar,N5,grammar,numbers-counters,数字,すうじ,Basic numbers 1–10 and beyond (native and Sino-Japanese),Japanese numbers combine a native system (ひとつ、ふたつ...) with a Sino-Japanese system (いち、に、さん...) borrowed from Chinese — which one you use depends entirely on the counter word that follows.,Numeral,りんごを三つ買いました。,りんごをみっつかいました。,I bought three apples.,三つ,三,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Two number systems exist; the counter decides which to use.
grammar,N5,grammar,numbers-counters,〜つ,つ,Native Japanese counter for general objects (1–10),"This native counter is the default ""catch-all"" for objects when you don't know the specific counter, but it only goes up to とお (ten); beyond that, switch to Sino-Japanese numbers (じゅういち, etc.).",Number (native) + つ,りんごが五つあります。,りんごがいつつあります。,There are five apples.,五つ,五,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Only goes up to とお (ten); use Sino-Japanese numbers after that.
grammar,N5,grammar,numbers-counters,〜人,にん,Counter for people,"Almost all counters have irregular readings at 1 and 2, and 人 is a classic example: 一人 (ひとり) and 二人 (ふたり) don't follow the regular いちにん/ににん pattern that resumes from three onward.",Number + 人,家族は四人です。,かぞくはよにんです。,There are four people in my family.,家族,四;人,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,一人/二人 have irregular readings (ひとり/ふたり)。
grammar,N5,grammar,numbers-counters,〜時・〜時間,じ・じかん,Clock time and duration,"A subtle but important distinction: 時 answers ""at what time,"" while 時間 answers ""for how long"" — 三時に会います (I'll meet you at 3 o'clock) vs 三時間待ちます (I'll wait for three hours).",Number + 時 (o'clock) / 時間 (duration),三時間勉強しました。,さんじかんべんきょうしました。,I studied for three hours.,勉強;時間,三;時;間,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"時 = point in time, 時間 = length of time."
grammar,N5,grammar,numbers-counters,〜月〜日,がつ・にち,Months and dates,"Days of the month have irregular native readings for the first ten days and the 14th, 20th, and 24th (ついたち、ふつか、みっか...はつか) that must be memorized individually.",Number + 月 / 日,五月三日は休みです。,ごがつみっかはやすみです。,May 3rd is a holiday.,休み;三日,五;月;三;日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Many day readings (ついたち、ふつか...) are irregular.
grammar,N5,grammar,numbers-counters,〜歳・〜才,さい,Counter for age,"歳 and 才 are interchangeable in casual writing, though 歳 is more standard; the one irregular reading to remember is 二十歳 (はたち), breaking from the otherwise regular にじゅっさい pattern.",Number + 歳/才,二十歳になりました。,はたちになりました。,I turned twenty.,二十歳,二;十,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,二十歳 has the special reading はたち。
grammar,N5,grammar,connectors,そして,そして,"""And then"" (connects two sentences)","そして simply sequences two separate sentences and works for almost any connection, though in very casual speech it can sound slightly bookish compared to just pausing or using それで。",Sentence。+ そして、Sentence。,宿題をしました。そして、寝ました。,しゅくだいをしました。そして、ねました。,"I did my homework. And then, I slept.",そして;宿題,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"Connects full sentences, not just words."
grammar,N5,grammar,connectors,でも,でも,"""But"" (sentence-initial contrast)","でも starts a new sentence with a contrast to what was just said; its formal written counterpart is しかし, while だけど is the casual spoken equivalent.",Sentence。+ でも、Sentence。,忙しいです。でも、楽しいです。,いそがしいです。でも、たのしいです。,I'm busy. But it's fun.,忙しい;楽しい;でも,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Casual; しかし is more formal.
grammar,N5,grammar,connectors,〜から（理由）,から,"""Because"" (states a reason, clause-final)","When から attaches to a full clause rather than a noun, it means ""because,"" with the reason stated first and the result following — a direct, personal way to give a reason, slightly less formal than ので.",Reason + から、Result,疲れたから、休みます。,つかれたから、やすみます。,"Because I'm tired, I'll rest.",休み,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"The reason comes first, the result second."
grammar,N5,grammar,connectors,〜が（逆接）,が,"""But"" connecting two clauses","This が sits at the end of one clause to soften a contrast or transition into the next, functioning like でも but woven into a single sentence — very common in polite speech to soften bad news or disagreement.",Clause + が、Clause,この店は安いですが、おいしくないです。,このみせはやすいですが、おいしくないです。,"This shop is cheap, but it's not tasty.",ない;この;安い,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Softer and more common in speech than でも。
grammar,N5,grammar,connectors,それから,それから,"""After that, and then""","それから emphasizes that the second event happened after the first in time, making it feel more like a narrated sequence of events than the more neutral そして。",Sentence。+ それから、Sentence。,朝ご飯を食べました。それから、学校へ行きました。,あさごはんをたべました。それから、がっこうへいきました。,"I ate breakfast. After that, I went to school.",それから;学校;それ,食;学;校;行,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,Emphasizes sequence more than そして。
grammar,N5,grammar,adverbs,とても・あまり,とても・あまり,"""Very"" / ""not very"" (with negative)","とても intensifies a positive statement, while あまり must be paired with a negative predicate to mean ""not very"" — using あまり with a positive verb/adjective is a common learner error when translating ""very"" directly.",とても + Adj / あまり + Adj + ない,今日はあまり暑くないです。,きょうはあまりあつくないです。,Today is not very hot.,ない;今日,今;日,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,あまり must be paired with a negative verb/adjective.
grammar,N5,grammar,adverbs,よく・たくさん,よく・たくさん,"""Often / well"" / ""a lot, many""","よく modifies verbs to mean either ""often"" (frequency) or ""well/skillfully"" (quality), with context distinguishing the two, while たくさん specifically quantifies ""a lot"" of something.",よく/たくさん + Verb,野菜をたくさん食べます。,やさいをたくさんたべます。,I eat a lot of vegetables.,野菜;さん,食,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"よく can mean both ""often"" and ""well,"" depending on context."
grammar,N5,grammar,adverbs,もう・まだ,もう・まだ,"""Already"" / ""not yet, still""","もう pairs naturally with a past-tense verb (""already done""), while まだ pairs with a negative verb for ""not yet"" (まだしていません) — using まだ with a past-affirmative verb doesn't make grammatical sense.",もう/まだ + Verb (past or negative),もう宿題をしました。,もうしゅくだいをしました。,I already did my homework.,宿題;もう,,Compiled from standard JLPT grammar references; cross-check against Genki/Minna no Nihongo/Bunpro recommended,,,"まだ pairs with a negative for ""not yet"": まだしていません。"
